Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Tahiti_MIS1_MIS2	U/Th	Ta-P6-10_1	-17.517	-149.567	9700	970	Acropora danai	U/Th	0	0	-1	-34.6	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P6-10_2	-17.517	-149.567	9700	970	Acropora danai	U/Th	0	0	-1	-34.6	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P6-10_3	-17.517	-149.567	9600	960	Acropora danai	U/Th	0	0	-1	-34.6	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P6-11_1	-17.517	-149.567	9900	990	Acropora danai	U/Th	0	0	-1	-37.3	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P6-11_2	-17.517	-149.567	9900	100	Acropora danai	U/Th	0	0	-1	-37.3	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P6-12	-17.517	-149.567	10000	1000	Acropora sp.	U/Th	0	0	-1	-39.6	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P6-13_1	-17.517	-149.567	10200	100	Acropora danai	U/Th	0	0	-1	-43.9	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P6-13_2	-17.517	-149.567	10300	1030	Acropora danai	U/Th	0	0	-1	-43.9	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P6-14_1	-17.517	-149.567	10200	100	Acropora danai	U/Th	0	0	-1	-45.9	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-10	-17.517	-149.567	12000	100	Porites sp.	U/Th	0	0	-1	-61.9	1.6	1.6	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-11	-17.517	-149.567	13000	1300	Pocillopora verrucosa	U/Th	0	0	-1	-68.2	1.6	1.6	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-12	-17.517	-149.567	12900	1290	Pocillopora sp.	U/Th	0	0	-1	-68.2	1.6	1.6	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-13	-17.517	-149.567	12800	100	Porites sp.	U/Th	0	0	-1	-69.8	1.6	1.6	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-14	-17.517	-149.567	12800	100	Porites sp.	U/Th	0	0	-1	-70.5	1.6	1.6	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-15	-17.517	-149.567	13000	100	Porites sp.	U/Th	0	0	-1	-70.9	1.6	1.6	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-16	-17.517	-149.567	13000	100	Porites sp.	U/Th	0	0	-1	-72.4	1.6	1.6	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-17	-17.517	-149.567	13200	1320	Porites sp.	U/Th	0	0	-1	-73.4	1.7	1.7	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-18_1	-17.517	-149.567	13600	100	Porites sp.	U/Th	0	0	-1	-76.4	1.7	1.7	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-18_2	-17.517	-149.567	13500	100	Porites sp.	U/Th	0	0	-1	-76.4	1.7	1.7	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-19_1	-17.517	-149.567	13900	100	Acropora danai	U/Th	0	0	-1	-79.3	1.7	1.7	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-19_2	-17.517	-149.567	13900	100	Acropora danai	U/Th	0	0	-1	-79.3	1.7	1.7	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-19_3	-17.517	-149.567	13800	700	Acropora danai	U/Th	0	0	-1	-79.4	1.7	1.7	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-2_1	-17.517	-149.567	9400	100	Montastraea annuligera	U/Th	0	0	-1	-32.3	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-2_2	-17.517	-149.567	9300	930	Montastraea annuligera	U/Th	0	0	-1	-32.3	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-4	-17.517	-149.567	10300	1030	Acropora danai	U/Th	0	0	-1	-44	1.4	1.4	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-5	-17.517	-149.567	10700	100	Pocillopora verrucosa	U/Th	0	0	-1	-46.8	1.5	1.5	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-6	-17.517	-149.567	10900	100	Faviidae (_Favidea_ ref 48)	U/Th	0	0	-1	-52.7	1.5	1.5	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-7_1	-17.517	-149.567	11100	1110	Acropora sp.	U/Th	0	0	-1	-52.8	1.5	1.5	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-7_2	-17.517	-149.567	11100	1110	Acropora sp.	U/Th	0	0	-1	-52.8	1.5	1.5	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-7_3	-17.517	-149.567	11100	1110	Acropora sp.	U/Th	0	0	-1	-52.8	1.5	1.5	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-7_4	-17.517	-149.567	11100	1110	Acropora sp.	U/Th	0	0	-1	-52.8	1.5	1.5	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-7_5	-17.517	-149.567	11100	1110	Acropora sp.	U/Th	0	0	-1	-52.8	1.5	1.5	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-8	-17.517	-149.567	11400	1140	Pocillopora verrucosa	U/Th	0	0	-1	-55.8	1.5	1.5	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P7-9	-17.517	-149.567	11600	1160	Pocillopora verrucosa	U/Th	0	0	-1	-61.7	1.5	1.5	BardEtal1996
Tahiti_MIS1_MIS2	U/Th	Ta-P10-333	-17.533	-149.517	12000	100	Porites sp.	U/Th	0	0	-1	-58.3	1.6	1.6	BardEtal2010
Tahiti_MIS1_MIS2	U/Th	Ta-P10-372	-17.533	-149.517	13000	100	Porites sp.	U/Th	0	0	-1	-70.8	1.6	1.6	BardEtal2010
Tahiti_MIS1_MIS2	U/Th	Ta-P8-162	-17.517	-149.567	9600	300	Acropora sp.	U/Th	0	0	-1	-35	1.4	1.4	BardEtal2010
Tahiti_MIS1_MIS2	U/Th	Ta-P8-176	-17.517	-149.567	9700	970	Pocillopora sp.	U/Th	0	0	-1	-37.3	1.4	1.4	BardEtal2010
Tahiti_MIS1_MIS2	U/Th	Ta-P8-182	-17.517	-149.567	9700	970	Pocillopora sp.	U/Th	0	0	-1	-38.6	1.4	1.4	BardEtal2010
Tahiti_MIS1_MIS2	U/Th	Ta-P8-203	-17.517	-149.567	10300	1030	Faviidae (_Favidea_ ref 48)	U/Th	0	0	-1	-41.1	1.4	1.4	BardEtal2010
Tahiti_MIS1_MIS2	U/Th	Ta-P8-222	-17.517	-149.567	10300	1030	Acropora sp.	U/Th	0	0	-1	-43.6	1.4	1.4	BardEtal2010
